n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja
118,"(10.875,10.9]",10.875,10.9,0.025,ppt,0,0.0038152718650643963
119,"(10.9,10.925]",10.9,10.925,0.025,ppt,0,3.5566093657379963e-4
120,"(10.975,11]",10.975,11,0.025,ppt,0,0.004548148946489195
121,"(11,11.025]",11,11.025,0.025,ppt,0,5.388802069299995e-5
122,"(11.075,11.1]",11.075,11.1,0.025,ppt,0,0.005819906234843994
123,"(11.175,11.2]",11.175,11.2,0.025,ppt,0,0.006962332273535593
124,"(11.275,11.3]",11.275,11.3,0.025,ppt,0,0.006498895295575793
125,"(11.375,11.4]",11.375,11.4,0.025,ppt,0,0.007080885919060193
126,"(11.4,11.425]",11.4,11.425,0.025,ppt,0,3.772161448509996e-4
127,"(11.475,11.5]",11.475,11.5,0.025,ppt,0,0.007953871854286792
128,"(11.5,11.525]",11.5,11.525,0.025,ppt,0,6.682114565931994e-4
129,"(11.575,11.6]",11.575,11.6,0.025,ppt,0,0.010432720806164789
130,"(11.675,11.7]",11.675,11.7,0.025,ppt,0,0.01020639111925419
131,"(11.775,11.8]",11.775,11.8,0.025,ppt,0,0.00987228539095759
132,"(11.875,11.9]",11.875,11.9,0.025,ppt,0,0.007867651021177991
133,"(11.9,11.925]",11.9,11.925,0.025,ppt,0,0.0010669828097213988
134,"(11.975,12]",11.975,12,0.025,ppt,0,0.007156329148030393
135,"(12,12.025]",12,12.025,0.025,ppt,0,9.053187476423991e-4
136,"(12.075,12.1]",12.075,12.1,0.025,ppt,0,0.008762192164681791
137,"(12.175,12.2]",12.175,12.2,0.025,ppt,0,0.008632860915018591
138,"(12.275,12.3]",12.275,12.3,0.025,ppt,0,0.008244867166028992
139,"(12.375,12.4]",12.375,12.4,0.025,ppt,0,0.005334914048606995
140,"(12.4,12.425]",12.4,12.425,0.025,ppt,0,7.544322897019992e-4
141,"(12.475,12.5]",12.475,12.5,0.025,ppt,0,0.004418817696825996
142,"(12.5,12.525]",12.5,12.525,0.025,ppt,0,0.0011532036428301988
143,"(12.575,12.6]",12.575,12.6,0.025,ppt,0,0.004936142695478795
144,"(12.675,12.7]",12.675,12.7,0.025,ppt,0,0.004063156760252196
145,"(12.775,12.8]",12.775,12.8,0.025,ppt,0,0.002899175513283397
146,"(12.875,12.9]",12.875,12.9,0.025,ppt,0,0.001961523953225198
147,"(12.9,12.925]",12.9,12.925,0.025,ppt,0,5.281026027913995e-4
148,"(12.975,13]",12.975,13,0.025,ppt,0,0.0017890822870075982
149,"(13,13.025]",13,13.025,0.025,ppt,0,4.311041655439996e-4
150,"(13.075,13.1]",13.075,13.1,0.025,ppt,0,0.0015950854125127984
151,"(13.175,13.2]",13.175,13.2,0.025,ppt,0,0.0011963140593845988
152,"(13.275,13.3]",13.275,13.3,0.025,ppt,0,9.69984372473999e-4
153,"(13.375,13.4]",13.375,13.4,0.025,ppt,0,6.466562483159994e-4
154,"(13.4,13.425]",13.4,13.425,0.025,ppt,0,9.69984372473999e-5
155,"(13.475,13.5]",13.475,13.5,0.025,ppt,0,4.095489572667996e-4
156,"(13.5,13.525]",13.5,13.525,0.025,ppt,0,1.939968744947998e-4
157,"(13.575,13.6]",13.575,13.6,0.025,ppt,0,7.436546855633993e-4
158,"(13.675,13.7]",13.675,13.7,0.025,ppt,0,6.251010400387994e-4
159,"(13.775,13.8]",13.775,13.8,0.025,ppt,0,6.143234359001994e-4
160,"(13.875,13.9]",13.875,13.9,0.025,ppt,0,3.017729158807997e-4
161,"(13.9,13.925]",13.9,13.925,0.025,ppt,0,1.5088645794039985e-4
162,"(13.975,14]",13.975,14,0.025,ppt,0,1.939968744947998e-4
163,"(14,14.025]",14,14.025,0.025,ppt,0,1.7244166621759982e-4
164,"(14.075,14.1]",14.075,14.1,0.025,ppt,0,3.987713531281996e-4
165,"(14.175,14.2]",14.175,14.2,0.025,ppt,0,3.017729158807997e-4
166,"(14.275,14.3]",14.275,14.3,0.025,ppt,0,3.341057282965997e-4
167,"(14.375,14.4]",14.375,14.4,0.025,ppt,0,3.125505200193997e-4
168,"(14.4,14.425]",14.4,14.425,0.025,ppt,0,1.4010885380179986e-4
169,"(14.475,14.5]",14.475,14.5,0.025,ppt,0,2.694401034649997e-4
170,"(14.5,14.525]",14.5,14.525,0.025,ppt,0,6.466562483159993e-5
171,"(14.575,14.6]",14.575,14.6,0.025,ppt,0,2.2632968691059977e-4
172,"(14.675,14.7]",14.675,14.7,0.025,ppt,0,1.7244166621759982e-4
173,"(14.775,14.8]",14.775,14.8,0.025,ppt,0,1.6166406207899985e-4
174,"(14.875,14.9]",14.875,14.9,0.025,ppt,0,9.69984372473999e-5
175,"(14.9,14.925]",14.9,14.925,0.025,ppt,0,2.1555208277199977e-5
176,"(14.975,15]",14.975,15,0.025,ppt,0,1.2933124966319986e-4
177,"(15.075,15.1]",15.075,15.1,0.025,ppt,0,4.3110416554399954e-5
178,"(15.175,15.2]",15.175,15.2,0.025,ppt,0,3.2332812415799966e-5
179,"(15.275,15.3]",15.275,15.3,0.025,ppt,0,2.1555208277199977e-5
180,"(205.675,205.7]",205.675,205.7,0.025,ppt,1.0777604138599989e-5,0
181,"(205.875,205.9]",205.875,205.9,0.025,ppt,1.0777604138599989e-5,0
182,"(205.975,206]",205.975,206,0.025,ppt,1.0777604138599989e-5,0
183,"(206.075,206.1]",206.075,206.1,0.025,ppt,1.0777604138599989e-5,0
184,"(206.175,206.2]",206.175,206.2,0.025,ppt,2.1555208277199977e-5,0
185,"(206.375,206.4]",206.375,206.4,0.025,ppt,3.2332812415799966e-5,0
186,"(206.475,206.5]",206.475,206.5,0.025,ppt,1.0777604138599989e-5,0
187,"(206.575,206.6]",206.575,206.6,0.025,ppt,3.2332812415799966e-5,0
188,"(206.675,206.7]",206.675,206.7,0.025,ppt,2.1555208277199977e-5,0
189,"(206.775,206.8]",206.775,206.8,0.025,ppt,3.2332812415799966e-5,0
190,"(206.975,207]",206.975,207,0.025,ppt,4.3110416554399954e-5,0
191,"(207.075,207.1]",207.075,207.1,0.025,ppt,1.0777604138599989e-5,0
192,"(207.175,207.2]",207.175,207.2,0.025,ppt,4.3110416554399954e-5,0
193,"(207.275,207.3]",207.275,207.3,0.025,ppt,2.1555208277199977e-5,0
194,"(207.375,207.4]",207.375,207.4,0.025,ppt,1.0777604138599989e-5,0
195,"(207.475,207.5]",207.475,207.5,0.025,ppt,4.3110416554399954e-5,0
196,"(207.575,207.6]",207.575,207.6,0.025,ppt,1.0777604138599989e-5,0
197,"(207.675,207.7]",207.675,207.7,0.025,ppt,3.2332812415799966e-5,0
198,"(207.775,207.8]",207.775,207.8,0.025,ppt,3.2332812415799966e-5,0
199,"(207.875,207.9]",207.875,207.9,0.025,ppt,1.0777604138599989e-5,0
200,"(207.975,208]",207.975,208,0.025,ppt,1.0777604138599989e-5,0
201,"(208.075,208.1]",208.075,208.1,0.025,ppt,4.3110416554399954e-5,0
202,"(208.175,208.2]",208.175,208.2,0.025,ppt,2.1555208277199977e-5,0
203,"(208.275,208.3]",208.275,208.3,0.025,ppt,1.0777604138599989e-5,0
204,"(208.375,208.4]",208.375,208.4,0.025,ppt,4.3110416554399954e-5,0
205,"(208.4,208.425]",208.4,208.425,0.025,ppt,2.1555208277199977e-5,0
206,"(208.475,208.5]",208.475,208.5,0.025,ppt,1.0777604138599989e-5,0
207,"(208.575,208.6]",208.575,208.6,0.025,ppt,2.1555208277199977e-5,0
208,"(208.675,208.7]",208.675,208.7,0.025,ppt,3.2332812415799966e-5,0
209,"(208.775,208.8]",208.775,208.8,0.025,ppt,2.1555208277199977e-5,0
210,"(208.875,208.9]",208.875,208.9,0.025,ppt,5.388802069299995e-5,0
211,"(209.075,209.1]",209.075,209.1,0.025,ppt,4.3110416554399954e-5,0
212,"(209.175,209.2]",209.175,209.2,0.025,ppt,8.622083310879991e-5,0
213,"(209.275,209.3]",209.275,209.3,0.025,ppt,1.0777604138599989e-5,0
214,"(209.375,209.4]",209.375,209.4,0.025,ppt,3.2332812415799966e-5,0
215,"(209.4,209.425]",209.4,209.425,0.025,ppt,1.0777604138599989e-5,0
216,"(209.475,209.5]",209.475,209.5,0.025,ppt,1.0777604138599989e-5,0
217,"(209.5,209.525]",209.5,209.525,0.025,ppt,1.0777604138599989e-5,0
218,"(209.575,209.6]",209.575,209.6,0.025,ppt,3.2332812415799966e-5,0
219,"(209.675,209.7]",209.675,209.7,0.025,ppt,1.0777604138599989e-5,0
220,"(209.775,209.8]",209.775,209.8,0.025,ppt,4.3110416554399954e-5,0
221,"(209.875,209.9]",209.875,209.9,0.025,ppt,1.0777604138599989e-5,0
222,"(209.975,210]",209.975,210,0.025,ppt,2.1555208277199977e-5,0
