n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja
3854,"(479.2,479.225]",479.2,479.225,0.025,ppt,1.2933124966319986e-4,0
3855,"(479.275,479.3]",479.275,479.3,0.025,ppt,2.586624993263997e-4,0
3856,"(479.3,479.325]",479.3,479.325,0.025,ppt,1.1855364552459988e-4,0
3857,"(479.375,479.4]",479.375,479.4,0.025,ppt,2.3710729104919976e-4,0
3858,"(479.475,479.5]",479.475,479.5,0.025,ppt,2.586624993263997e-4,0
3859,"(479.5,479.525]",479.5,479.525,0.025,ppt,5.388802069299995e-5,0
3860,"(479.575,479.6]",479.575,479.6,0.025,ppt,2.4788489518779973e-4,0
3861,"(479.675,479.7]",479.675,479.7,0.025,ppt,1.5088645794039985e-4,0
3862,"(479.7,479.725]",479.7,479.725,0.025,ppt,1.077760413859999e-4,0
3863,"(479.775,479.8]",479.775,479.8,0.025,ppt,2.4788489518779973e-4,0
3864,"(479.8,479.825]",479.8,479.825,0.025,ppt,6.466562483159993e-5,0
3865,"(479.875,479.9]",479.875,479.9,0.025,ppt,2.3710729104919976e-4,0
3866,"(479.975,480]",479.975,480,0.025,ppt,2.047744786333998e-4,0
3867,"(480,480.025]",480,480.025,0.025,ppt,8.622083310879991e-5,0
3868,"(480.075,480.1]",480.075,480.1,0.025,ppt,3.017729158807997e-4,0
3869,"(480.175,480.2]",480.175,480.2,0.025,ppt,1.6166406207899985e-4,0
3870,"(480.2,480.225]",480.2,480.225,0.025,ppt,1.1855364552459988e-4,0
3871,"(480.275,480.3]",480.275,480.3,0.025,ppt,2.2632968691059977e-4,0
3872,"(480.3,480.325]",480.3,480.325,0.025,ppt,7.544322897019993e-5,0
3873,"(480.375,480.4]",480.375,480.4,0.025,ppt,2.802177076035997e-4,0
3874,"(480.475,480.5]",480.475,480.5,0.025,ppt,2.2632968691059977e-4,0
3875,"(480.5,480.525]",480.5,480.525,0.025,ppt,7.544322897019993e-5,0
3876,"(480.575,480.6]",480.575,480.6,0.025,ppt,2.3710729104919976e-4,0
3877,"(480.675,480.7]",480.675,480.7,0.025,ppt,1.939968744947998e-4,0
3878,"(480.7,480.725]",480.7,480.725,0.025,ppt,1.4010885380179986e-4,0
3879,"(480.775,480.8]",480.775,480.8,0.025,ppt,3.017729158807997e-4,0
3880,"(480.8,480.825]",480.8,480.825,0.025,ppt,7.544322897019993e-5,0
3881,"(480.875,480.9]",480.875,480.9,0.025,ppt,3.4488333243519963e-4,0
3882,"(480.975,481]",480.975,481,0.025,ppt,3.987713531281996e-4,0
3883,"(481,481.025]",481,481.025,0.025,ppt,5.388802069299995e-5,0
3884,"(481.075,481.1]",481.075,481.1,0.025,ppt,2.802177076035997e-4,0
3885,"(481.175,481.2]",481.175,481.2,0.025,ppt,2.586624993263997e-4,0
3886,"(481.2,481.225]",481.2,481.225,0.025,ppt,1.1855364552459988e-4,0
3887,"(481.275,481.3]",481.275,481.3,0.025,ppt,2.155520827719998e-4,0
3888,"(481.3,481.325]",481.3,481.325,0.025,ppt,5.388802069299995e-5,0
3889,"(481.375,481.4]",481.375,481.4,0.025,ppt,3.017729158807997e-4,0
3890,"(481.475,481.5]",481.475,481.5,0.025,ppt,1.832192703561998e-4,0
3891,"(481.5,481.525]",481.5,481.525,0.025,ppt,5.388802069299995e-5,0
3892,"(481.575,481.6]",481.575,481.6,0.025,ppt,4.203265614053996e-4,0
3893,"(481.675,481.7]",481.675,481.7,0.025,ppt,1.7244166621759982e-4,0
3894,"(481.7,481.725]",481.7,481.725,0.025,ppt,9.69984372473999e-5,0
3895,"(481.775,481.8]",481.775,481.8,0.025,ppt,1.7244166621759982e-4,0
3896,"(481.8,481.825]",481.8,481.825,0.025,ppt,5.388802069299995e-5,0
3897,"(481.875,481.9]",481.875,481.9,0.025,ppt,2.909953117421997e-4,0
3898,"(481.975,482]",481.975,482,0.025,ppt,2.047744786333998e-4,0
3899,"(482,482.025]",482,482.025,0.025,ppt,5.388802069299995e-5,0
3900,"(482.075,482.1]",482.075,482.1,0.025,ppt,3.125505200193997e-4,0
3901,"(482.175,482.2]",482.175,482.2,0.025,ppt,2.047744786333998e-4,0
3902,"(482.2,482.225]",482.2,482.225,0.025,ppt,8.622083310879991e-5,0
3903,"(482.275,482.3]",482.275,482.3,0.025,ppt,2.047744786333998e-4,0
3904,"(482.3,482.325]",482.3,482.325,0.025,ppt,6.466562483159993e-5,0
3905,"(482.375,482.4]",482.375,482.4,0.025,ppt,2.2632968691059977e-4,0
3906,"(482.475,482.5]",482.475,482.5,0.025,ppt,2.586624993263997e-4,0
3907,"(482.5,482.525]",482.5,482.525,0.025,ppt,4.3110416554399954e-5,0
3908,"(482.575,482.6]",482.575,482.6,0.025,ppt,2.802177076035997e-4,0
3909,"(482.675,482.7]",482.675,482.7,0.025,ppt,2.047744786333998e-4,0
3910,"(482.7,482.725]",482.7,482.725,0.025,ppt,1.1855364552459988e-4,0
3911,"(482.775,482.8]",482.775,482.8,0.025,ppt,2.802177076035997e-4,0
3912,"(482.8,482.825]",482.8,482.825,0.025,ppt,5.388802069299995e-5,0
3913,"(482.875,482.9]",482.875,482.9,0.025,ppt,2.909953117421997e-4,0
3914,"(482.975,483]",482.975,483,0.025,ppt,2.155520827719998e-4,0
3915,"(483,483.025]",483,483.025,0.025,ppt,4.3110416554399954e-5,0
3916,"(483.075,483.1]",483.075,483.1,0.025,ppt,2.909953117421997e-4,0
3917,"(483.175,483.2]",483.175,483.2,0.025,ppt,1.1855364552459988e-4,0
3918,"(483.2,483.225]",483.2,483.225,0.025,ppt,1.2933124966319986e-4,0
3919,"(483.275,483.3]",483.275,483.3,0.025,ppt,3.017729158807997e-4,0
3920,"(483.3,483.325]",483.3,483.325,0.025,ppt,1.2933124966319986e-4,0
3921,"(483.375,483.4]",483.375,483.4,0.025,ppt,2.694401034649997e-4,0
3922,"(483.475,483.5]",483.475,483.5,0.025,ppt,3.017729158807997e-4,0
3923,"(483.5,483.525]",483.5,483.525,0.025,ppt,7.544322897019993e-5,0
3924,"(483.575,483.6]",483.575,483.6,0.025,ppt,3.125505200193997e-4,0
3925,"(483.675,483.7]",483.675,483.7,0.025,ppt,1.939968744947998e-4,0
3926,"(483.7,483.725]",483.7,483.725,0.025,ppt,1.077760413859999e-4,0
3927,"(483.775,483.8]",483.775,483.8,0.025,ppt,1.939968744947998e-4,0
3928,"(483.8,483.825]",483.8,483.825,0.025,ppt,5.388802069299995e-5,0
3929,"(483.875,483.9]",483.875,483.9,0.025,ppt,2.802177076035997e-4,0
3930,"(483.975,484]",483.975,484,0.025,ppt,1.5088645794039985e-4,0
3931,"(484,484.025]",484,484.025,0.025,ppt,6.466562483159993e-5,0
3932,"(484.075,484.1]",484.075,484.1,0.025,ppt,3.017729158807997e-4,0
3933,"(484.175,484.2]",484.175,484.2,0.025,ppt,1.1855364552459988e-4,0
3934,"(484.2,484.225]",484.2,484.225,0.025,ppt,1.077760413859999e-4,0
3935,"(484.275,484.3]",484.275,484.3,0.025,ppt,2.155520827719998e-4,0
3936,"(484.3,484.325]",484.3,484.325,0.025,ppt,6.466562483159993e-5,0
3937,"(484.375,484.4]",484.375,484.4,0.025,ppt,4.095489572667996e-4,0
3938,"(484.475,484.5]",484.475,484.5,0.025,ppt,2.2632968691059977e-4,0
3939,"(484.5,484.525]",484.5,484.525,0.025,ppt,4.3110416554399954e-5,0
3940,"(484.575,484.6]",484.575,484.6,0.025,ppt,3.233281241579997e-4,0
3941,"(484.675,484.7]",484.675,484.7,0.025,ppt,2.047744786333998e-4,0
3942,"(484.7,484.725]",484.7,484.725,0.025,ppt,1.4010885380179986e-4,0
3943,"(484.775,484.8]",484.775,484.8,0.025,ppt,1.7244166621759982e-4,0
3944,"(484.8,484.825]",484.8,484.825,0.025,ppt,7.544322897019993e-5,0
3945,"(484.875,484.9]",484.875,484.9,0.025,ppt,3.5566093657379963e-4,0
3946,"(484.975,485]",484.975,485,0.025,ppt,2.2632968691059977e-4,0
3947,"(485,485.025]",485,485.025,0.025,ppt,5.388802069299995e-5,0
3948,"(485.075,485.1]",485.075,485.1,0.025,ppt,3.664385407123996e-4,0
3949,"(485.175,485.2]",485.175,485.2,0.025,ppt,1.6166406207899985e-4,0
3950,"(485.2,485.225]",485.2,485.225,0.025,ppt,5.388802069299995e-5,0
3951,"(485.275,485.3]",485.275,485.3,0.025,ppt,2.909953117421997e-4,0
3952,"(485.3,485.325]",485.3,485.325,0.025,ppt,4.3110416554399954e-5,0
3953,"(485.375,485.4]",485.375,485.4,0.025,ppt,2.802177076035997e-4,0
3954,"(485.475,485.5]",485.475,485.5,0.025,ppt,2.3710729104919976e-4,0
3955,"(485.5,485.525]",485.5,485.525,0.025,ppt,7.544322897019993e-5,0
3956,"(485.575,485.6]",485.575,485.6,0.025,ppt,3.772161448509996e-4,0
3957,"(485.675,485.7]",485.675,485.7,0.025,ppt,2.155520827719998e-4,0
3958,"(485.7,485.725]",485.7,485.725,0.025,ppt,1.7244166621759982e-4,0
3959,"(485.775,485.8]",485.775,485.8,0.025,ppt,2.694401034649997e-4,0
3960,"(485.8,485.825]",485.8,485.825,0.025,ppt,5.388802069299995e-5,0
3961,"(485.875,485.9]",485.875,485.9,0.025,ppt,4.095489572667996e-4,0
3962,"(485.975,486]",485.975,486,0.025,ppt,2.2632968691059977e-4,0
3963,"(486,486.025]",486,486.025,0.025,ppt,7.544322897019993e-5,0
3964,"(486.075,486.1]",486.075,486.1,0.025,ppt,2.2632968691059977e-4,0
3965,"(486.175,486.2]",486.175,486.2,0.025,ppt,1.2933124966319986e-4,0
3966,"(486.2,486.225]",486.2,486.225,0.025,ppt,1.832192703561998e-4,0
3967,"(486.275,486.3]",486.275,486.3,0.025,ppt,2.586624993263997e-4,0
3968,"(486.3,486.325]",486.3,486.325,0.025,ppt,6.466562483159993e-5,0
3969,"(486.375,486.4]",486.375,486.4,0.025,ppt,4.634369779597995e-4,0
3970,"(486.475,486.5]",486.475,486.5,0.025,ppt,2.2632968691059977e-4,0
3971,"(486.5,486.525]",486.5,486.525,0.025,ppt,3.2332812415799966e-5,0
3972,"(486.575,486.6]",486.575,486.6,0.025,ppt,3.772161448509996e-4,0
3973,"(486.675,486.7]",486.675,486.7,0.025,ppt,1.2933124966319986e-4,0
3974,"(486.7,486.725]",486.7,486.725,0.025,ppt,8.622083310879991e-5,0
3975,"(486.775,486.8]",486.775,486.8,0.025,ppt,2.802177076035997e-4,0
3976,"(486.8,486.825]",486.8,486.825,0.025,ppt,8.622083310879991e-5,0
3977,"(486.875,486.9]",486.875,486.9,0.025,ppt,2.802177076035997e-4,0
3978,"(486.975,487]",486.975,487,0.025,ppt,2.802177076035997e-4,0
3979,"(487,487.025]",487,487.025,0.025,ppt,9.69984372473999e-5,0
3980,"(487.075,487.1]",487.075,487.1,0.025,ppt,2.2632968691059977e-4,0
3981,"(487.175,487.2]",487.175,487.2,0.025,ppt,1.4010885380179986e-4,0
3982,"(487.2,487.225]",487.2,487.225,0.025,ppt,1.2933124966319986e-4,0
3983,"(487.275,487.3]",487.275,487.3,0.025,ppt,3.017729158807997e-4,0
3984,"(487.3,487.325]",487.3,487.325,0.025,ppt,4.3110416554399954e-5,0
3985,"(487.375,487.4]",487.375,487.4,0.025,ppt,2.694401034649997e-4,0
3986,"(487.475,487.5]",487.475,487.5,0.025,ppt,2.047744786333998e-4,0
3987,"(487.5,487.525]",487.5,487.525,0.025,ppt,4.3110416554399954e-5,0
3988,"(487.575,487.6]",487.575,487.6,0.025,ppt,2.909953117421997e-4,0
3989,"(487.675,487.7]",487.675,487.7,0.025,ppt,2.3710729104919976e-4,0
3990,"(487.7,487.725]",487.7,487.725,0.025,ppt,1.2933124966319986e-4,0
3991,"(487.775,487.8]",487.775,487.8,0.025,ppt,2.3710729104919976e-4,0
3992,"(487.8,487.825]",487.8,487.825,0.025,ppt,4.3110416554399954e-5,0
3993,"(487.875,487.9]",487.875,487.9,0.025,ppt,2.802177076035997e-4,0
3994,"(487.975,488]",487.975,488,0.025,ppt,2.2632968691059977e-4,0
3995,"(488,488.025]",488,488.025,0.025,ppt,6.466562483159993e-5,0
3996,"(488.075,488.1]",488.075,488.1,0.025,ppt,4.203265614053996e-4,0
3997,"(488.175,488.2]",488.175,488.2,0.025,ppt,1.832192703561998e-4,0
3998,"(488.2,488.225]",488.2,488.225,0.025,ppt,1.6166406207899985e-4,0
3999,"(488.275,488.3]",488.275,488.3,0.025,ppt,2.155520827719998e-4,0
4000,"(488.3,488.325]",488.3,488.325,0.025,ppt,7.544322897019993e-5,0
4001,"(488.375,488.4]",488.375,488.4,0.025,ppt,2.586624993263997e-4,0
4002,"(488.475,488.5]",488.475,488.5,0.025,ppt,1.832192703561998e-4,0
4003,"(488.5,488.525]",488.5,488.525,0.025,ppt,2.1555208277199977e-5,0
4004,"(488.575,488.6]",488.575,488.6,0.025,ppt,3.879937489895996e-4,0
4005,"(488.675,488.7]",488.675,488.7,0.025,ppt,1.5088645794039985e-4,0
4006,"(488.7,488.725]",488.7,488.725,0.025,ppt,1.077760413859999e-4,0
4007,"(488.775,488.8]",488.775,488.8,0.025,ppt,1.4010885380179986e-4,0
4008,"(488.8,488.825]",488.8,488.825,0.025,ppt,8.622083310879991e-5,0
4009,"(488.875,488.9]",488.875,488.9,0.025,ppt,1.6166406207899985e-4,0
4010,"(488.975,489]",488.975,489,0.025,ppt,3.125505200193997e-4,0
4011,"(489,489.025]",489,489.025,0.025,ppt,7.544322897019993e-5,0
4012,"(489.075,489.1]",489.075,489.1,0.025,ppt,3.125505200193997e-4,0
4013,"(489.175,489.2]",489.175,489.2,0.025,ppt,1.939968744947998e-4,0
4014,"(489.2,489.225]",489.2,489.225,0.025,ppt,1.4010885380179986e-4,0
4015,"(489.275,489.3]",489.275,489.3,0.025,ppt,1.6166406207899985e-4,0
4016,"(489.3,489.325]",489.3,489.325,0.025,ppt,6.466562483159993e-5,0
4017,"(489.375,489.4]",489.375,489.4,0.025,ppt,3.4488333243519963e-4,0
4018,"(489.475,489.5]",489.475,489.5,0.025,ppt,2.3710729104919976e-4,0
4019,"(489.5,489.525]",489.5,489.525,0.025,ppt,7.544322897019993e-5,0
4020,"(489.575,489.6]",489.575,489.6,0.025,ppt,3.233281241579997e-4,0
4021,"(489.675,489.7]",489.675,489.7,0.025,ppt,1.832192703561998e-4,0
4022,"(489.7,489.725]",489.7,489.725,0.025,ppt,1.5088645794039985e-4,0
4023,"(489.775,489.8]",489.775,489.8,0.025,ppt,2.4788489518779973e-4,0
4024,"(489.8,489.825]",489.8,489.825,0.025,ppt,5.388802069299995e-5,0
4025,"(489.875,489.9]",489.875,489.9,0.025,ppt,3.017729158807997e-4,0
4026,"(489.975,490]",489.975,490,0.025,ppt,2.3710729104919976e-4,0
4027,"(490,490.025]",490,490.025,0.025,ppt,4.3110416554399954e-5,0
4028,"(490.075,490.1]",490.075,490.1,0.025,ppt,3.125505200193997e-4,0
4029,"(490.175,490.2]",490.175,490.2,0.025,ppt,1.077760413859999e-4,0
4030,"(490.2,490.225]",490.2,490.225,0.025,ppt,1.4010885380179986e-4,0
4031,"(490.275,490.3]",490.275,490.3,0.025,ppt,2.586624993263997e-4,0
4032,"(490.3,490.325]",490.3,490.325,0.025,ppt,5.388802069299995e-5,0
4033,"(490.375,490.4]",490.375,490.4,0.025,ppt,3.233281241579997e-4,0
4034,"(490.475,490.5]",490.475,490.5,0.025,ppt,2.3710729104919976e-4,0
4035,"(490.5,490.525]",490.5,490.525,0.025,ppt,7.544322897019993e-5,0
4036,"(490.575,490.6]",490.575,490.6,0.025,ppt,2.694401034649997e-4,0
4037,"(490.675,490.7]",490.675,490.7,0.025,ppt,1.939968744947998e-4,0
4038,"(490.7,490.725]",490.7,490.725,0.025,ppt,1.5088645794039985e-4,0
4039,"(490.775,490.8]",490.775,490.8,0.025,ppt,1.1855364552459988e-4,0
4040,"(490.8,490.825]",490.8,490.825,0.025,ppt,7.544322897019993e-5,0
4041,"(490.875,490.9]",490.875,490.9,0.025,ppt,2.2632968691059977e-4,0
4042,"(490.975,491]",490.975,491,0.025,ppt,3.233281241579997e-4,0
4043,"(491,491.025]",491,491.025,0.025,ppt,3.2332812415799966e-5,0
4044,"(491.075,491.1]",491.075,491.1,0.025,ppt,3.5566093657379963e-4,0
4045,"(491.175,491.2]",491.175,491.2,0.025,ppt,1.4010885380179986e-4,0
4046,"(491.2,491.225]",491.2,491.225,0.025,ppt,1.7244166621759982e-4,0
4047,"(491.275,491.3]",491.275,491.3,0.025,ppt,2.802177076035997e-4,0
4048,"(491.3,491.325]",491.3,491.325,0.025,ppt,8.622083310879991e-5,0
4049,"(491.375,491.4]",491.375,491.4,0.025,ppt,3.233281241579997e-4,0
4050,"(491.475,491.5]",491.475,491.5,0.025,ppt,2.155520827719998e-4,0
4051,"(491.5,491.525]",491.5,491.525,0.025,ppt,7.544322897019993e-5,0
4052,"(491.575,491.6]",491.575,491.6,0.025,ppt,3.5566093657379963e-4,0
4053,"(491.675,491.7]",491.675,491.7,0.025,ppt,1.5088645794039985e-4,0
4054,"(491.7,491.725]",491.7,491.725,0.025,ppt,9.69984372473999e-5,0
4055,"(491.775,491.8]",491.775,491.8,0.025,ppt,2.694401034649997e-4,0
4056,"(491.8,491.825]",491.8,491.825,0.025,ppt,2.1555208277199977e-5,0
4057,"(491.875,491.9]",491.875,491.9,0.025,ppt,3.017729158807997e-4,0
4058,"(491.975,492]",491.975,492,0.025,ppt,2.4788489518779973e-4,0
4059,"(492,492.025]",492,492.025,0.025,ppt,4.3110416554399954e-5,0
4060,"(492.075,492.1]",492.075,492.1,0.025,ppt,2.586624993263997e-4,0
4061,"(492.175,492.2]",492.175,492.2,0.025,ppt,1.832192703561998e-4,0
4062,"(492.2,492.225]",492.2,492.225,0.025,ppt,1.832192703561998e-4,0
4063,"(492.275,492.3]",492.275,492.3,0.025,ppt,2.4788489518779973e-4,0
4064,"(492.3,492.325]",492.3,492.325,0.025,ppt,6.466562483159993e-5,0
4065,"(492.375,492.4]",492.375,492.4,0.025,ppt,2.586624993263997e-4,0
4066,"(492.475,492.5]",492.475,492.5,0.025,ppt,1.939968744947998e-4,0
4067,"(492.5,492.525]",492.5,492.525,0.025,ppt,3.2332812415799966e-5,0
4068,"(492.575,492.6]",492.575,492.6,0.025,ppt,3.233281241579997e-4,0
4069,"(492.675,492.7]",492.675,492.7,0.025,ppt,1.939968744947998e-4,0
4070,"(492.7,492.725]",492.7,492.725,0.025,ppt,2.047744786333998e-4,0
4071,"(492.775,492.8]",492.775,492.8,0.025,ppt,3.017729158807997e-4,0
4072,"(492.8,492.825]",492.8,492.825,0.025,ppt,5.388802069299995e-5,0
4073,"(492.875,492.9]",492.875,492.9,0.025,ppt,3.664385407123996e-4,0
4074,"(492.975,493]",492.975,493,0.025,ppt,2.2632968691059977e-4,0
4075,"(493,493.025]",493,493.025,0.025,ppt,7.544322897019993e-5,0
4076,"(493.075,493.1]",493.075,493.1,0.025,ppt,2.4788489518779973e-4,0
4077,"(493.175,493.2]",493.175,493.2,0.025,ppt,1.5088645794039985e-4,0
4078,"(493.2,493.225]",493.2,493.225,0.025,ppt,9.69984372473999e-5,0
4079,"(493.275,493.3]",493.275,493.3,0.025,ppt,1.832192703561998e-4,0
4080,"(493.3,493.325]",493.3,493.325,0.025,ppt,7.544322897019993e-5,0
4081,"(493.375,493.4]",493.375,493.4,0.025,ppt,3.4488333243519963e-4,0
4082,"(493.475,493.5]",493.475,493.5,0.025,ppt,2.047744786333998e-4,0
4083,"(493.5,493.525]",493.5,493.525,0.025,ppt,8.622083310879991e-5,0
4084,"(493.575,493.6]",493.575,493.6,0.025,ppt,2.802177076035997e-4,0
4085,"(493.675,493.7]",493.675,493.7,0.025,ppt,1.6166406207899985e-4,0
4086,"(493.7,493.725]",493.7,493.725,0.025,ppt,1.2933124966319986e-4,0
4087,"(493.775,493.8]",493.775,493.8,0.025,ppt,2.3710729104919976e-4,0
4088,"(493.8,493.825]",493.8,493.825,0.025,ppt,1.0777604138599989e-5,0
4089,"(493.875,493.9]",493.875,493.9,0.025,ppt,3.233281241579997e-4,0
4090,"(493.975,494]",493.975,494,0.025,ppt,2.3710729104919976e-4,0
4091,"(494,494.025]",494,494.025,0.025,ppt,7.544322897019993e-5,0
4092,"(494.075,494.1]",494.075,494.1,0.025,ppt,2.3710729104919976e-4,0
4093,"(494.175,494.2]",494.175,494.2,0.025,ppt,2.2632968691059977e-4,0
4094,"(494.2,494.225]",494.2,494.225,0.025,ppt,1.077760413859999e-4,0
4095,"(494.275,494.3]",494.275,494.3,0.025,ppt,1.4010885380179986e-4,0
4096,"(494.3,494.325]",494.3,494.325,0.025,ppt,4.3110416554399954e-5,0
4097,"(494.375,494.4]",494.375,494.4,0.025,ppt,3.341057282965997e-4,0
4098,"(494.475,494.5]",494.475,494.5,0.025,ppt,2.802177076035997e-4,0
4099,"(494.5,494.525]",494.5,494.525,0.025,ppt,7.544322897019993e-5,0
4100,"(494.575,494.6]",494.575,494.6,0.025,ppt,2.802177076035997e-4,0
4101,"(494.675,494.7]",494.675,494.7,0.025,ppt,2.909953117421997e-4,0
4102,"(494.7,494.725]",494.7,494.725,0.025,ppt,1.5088645794039985e-4,0
4103,"(494.775,494.8]",494.775,494.8,0.025,ppt,2.2632968691059977e-4,0
4104,"(494.8,494.825]",494.8,494.825,0.025,ppt,1.0777604138599989e-5,0
4105,"(494.875,494.9]",494.875,494.9,0.025,ppt,3.017729158807997e-4,0
4106,"(494.975,495]",494.975,495,0.025,ppt,2.694401034649997e-4,0
4107,"(495,495.025]",495,495.025,0.025,ppt,8.622083310879991e-5,0
4108,"(495.075,495.1]",495.075,495.1,0.025,ppt,3.4488333243519963e-4,0
4109,"(495.175,495.2]",495.175,495.2,0.025,ppt,2.2632968691059977e-4,0
4110,"(495.2,495.225]",495.2,495.225,0.025,ppt,8.622083310879991e-5,0
4111,"(495.275,495.3]",495.275,495.3,0.025,ppt,1.2933124966319986e-4,0
4112,"(495.3,495.325]",495.3,495.325,0.025,ppt,5.388802069299995e-5,0
4113,"(495.375,495.4]",495.375,495.4,0.025,ppt,3.664385407123996e-4,0
4114,"(495.475,495.5]",495.475,495.5,0.025,ppt,2.3710729104919976e-4,0
4115,"(495.5,495.525]",495.5,495.525,0.025,ppt,5.388802069299995e-5,0
4116,"(495.575,495.6]",495.575,495.6,0.025,ppt,3.017729158807997e-4,0
4117,"(495.675,495.7]",495.675,495.7,0.025,ppt,1.832192703561998e-4,0
4118,"(495.7,495.725]",495.7,495.725,0.025,ppt,1.2933124966319986e-4,0
4119,"(495.775,495.8]",495.775,495.8,0.025,ppt,1.939968744947998e-4,0
4120,"(495.8,495.825]",495.8,495.825,0.025,ppt,2.1555208277199977e-5,0
4121,"(495.875,495.9]",495.875,495.9,0.025,ppt,3.4488333243519963e-4,0
4122,"(495.975,496]",495.975,496,0.025,ppt,2.2632968691059977e-4,0
4123,"(496,496.025]",496,496.025,0.025,ppt,7.544322897019993e-5,0
4124,"(496.075,496.1]",496.075,496.1,0.025,ppt,2.586624993263997e-4,0
4125,"(496.175,496.2]",496.175,496.2,0.025,ppt,2.047744786333998e-4,0
4126,"(496.2,496.225]",496.2,496.225,0.025,ppt,9.69984372473999e-5,0
4127,"(496.275,496.3]",496.275,496.3,0.025,ppt,2.155520827719998e-4,0
4128,"(496.3,496.325]",496.3,496.325,0.025,ppt,8.622083310879991e-5,0
4129,"(496.375,496.4]",496.375,496.4,0.025,ppt,2.3710729104919976e-4,0
4130,"(496.475,496.5]",496.475,496.5,0.025,ppt,2.586624993263997e-4,0
4131,"(496.5,496.525]",496.5,496.525,0.025,ppt,9.69984372473999e-5,0
4132,"(496.575,496.6]",496.575,496.6,0.025,ppt,3.341057282965997e-4,0
4133,"(496.675,496.7]",496.675,496.7,0.025,ppt,8.622083310879991e-5,0
4134,"(496.7,496.725]",496.7,496.725,0.025,ppt,9.69984372473999e-5,0
4135,"(496.775,496.8]",496.775,496.8,0.025,ppt,2.2632968691059977e-4,0
4136,"(496.8,496.825]",496.8,496.825,0.025,ppt,4.3110416554399954e-5,0
4137,"(496.875,496.9]",496.875,496.9,0.025,ppt,3.125505200193997e-4,0
4138,"(496.975,497]",496.975,497,0.025,ppt,2.155520827719998e-4,0
4139,"(497,497.025]",497,497.025,0.025,ppt,4.3110416554399954e-5,0
4140,"(497.075,497.1]",497.075,497.1,0.025,ppt,2.4788489518779973e-4,0
4141,"(497.175,497.2]",497.175,497.2,0.025,ppt,1.6166406207899985e-4,0
4142,"(497.2,497.225]",497.2,497.225,0.025,ppt,1.2933124966319986e-4,0
4143,"(497.275,497.3]",497.275,497.3,0.025,ppt,2.155520827719998e-4,0
4144,"(497.3,497.325]",497.3,497.325,0.025,ppt,4.3110416554399954e-5,0
4145,"(497.375,497.4]",497.375,497.4,0.025,ppt,2.694401034649997e-4,0
4146,"(497.475,497.5]",497.475,497.5,0.025,ppt,2.3710729104919976e-4,0
4147,"(497.5,497.525]",497.5,497.525,0.025,ppt,5.388802069299995e-5,0
4148,"(497.575,497.6]",497.575,497.6,0.025,ppt,3.772161448509996e-4,0
4149,"(497.675,497.7]",497.675,497.7,0.025,ppt,2.155520827719998e-4,0
4150,"(497.7,497.725]",497.7,497.725,0.025,ppt,1.077760413859999e-4,0
4151,"(497.775,497.8]",497.775,497.8,0.025,ppt,1.5088645794039985e-4,0
4152,"(497.8,497.825]",497.8,497.825,0.025,ppt,4.3110416554399954e-5,0
4153,"(497.875,497.9]",497.875,497.9,0.025,ppt,3.233281241579997e-4,0
4154,"(497.975,498]",497.975,498,0.025,ppt,2.586624993263997e-4,0
4155,"(498,498.025]",498,498.025,0.025,ppt,6.466562483159993e-5,0
4156,"(498.075,498.1]",498.075,498.1,0.025,ppt,2.909953117421997e-4,0
4157,"(498.175,498.2]",498.175,498.2,0.025,ppt,2.3710729104919976e-4,0
4158,"(498.2,498.225]",498.2,498.225,0.025,ppt,1.1855364552459988e-4,0
4159,"(498.275,498.3]",498.275,498.3,0.025,ppt,1.832192703561998e-4,0
4160,"(498.3,498.325]",498.3,498.325,0.025,ppt,4.3110416554399954e-5,0
4161,"(498.375,498.4]",498.375,498.4,0.025,ppt,3.125505200193997e-4,0
4162,"(498.475,498.5]",498.475,498.5,0.025,ppt,1.7244166621759982e-4,0
4163,"(498.5,498.525]",498.5,498.525,0.025,ppt,1.077760413859999e-4,0
4164,"(498.575,498.6]",498.575,498.6,0.025,ppt,2.586624993263997e-4,0
4165,"(498.675,498.7]",498.675,498.7,0.025,ppt,1.6166406207899985e-4,0
4166,"(498.7,498.725]",498.7,498.725,0.025,ppt,1.2933124966319986e-4,0
4167,"(498.775,498.8]",498.775,498.8,0.025,ppt,2.4788489518779973e-4,0
4168,"(498.8,498.825]",498.8,498.825,0.025,ppt,7.544322897019993e-5,0
4169,"(498.875,498.9]",498.875,498.9,0.025,ppt,2.802177076035997e-4,0
4170,"(498.975,499]",498.975,499,0.025,ppt,2.155520827719998e-4,0
4171,"(499,499.025]",499,499.025,0.025,ppt,5.388802069299995e-5,0
4172,"(499.075,499.1]",499.075,499.1,0.025,ppt,3.664385407123996e-4,0
4173,"(499.175,499.2]",499.175,499.2,0.025,ppt,1.077760413859999e-4,0
4174,"(499.2,499.225]",499.2,499.225,0.025,ppt,1.7244166621759982e-4,0
4175,"(499.275,499.3]",499.275,499.3,0.025,ppt,1.5088645794039985e-4,0
4176,"(499.3,499.325]",499.3,499.325,0.025,ppt,5.388802069299995e-5,0
4177,"(499.375,499.4]",499.375,499.4,0.025,ppt,3.5566093657379963e-4,0
4178,"(499.475,499.5]",499.475,499.5,0.025,ppt,2.694401034649997e-4,0
