n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja
25,"(-3.825,-3.8]",-3.825,-3.8,0.025,tmp,0,5.927682276229994e-4,9.69984372473999e-5
29,"(-3.725,-3.7]",-3.725,-3.7,0.025,tmp,0,6.574338524545993e-4,1.5088645794039985e-4
33,"(-3.625,-3.6]",-3.625,-3.6,0.025,tmp,0,6.897666648703993e-4,2.3710729104919976e-4
37,"(-3.525,-3.5]",-3.525,-3.5,0.025,tmp,0,4.203265614053996e-4,1.832192703561998e-4
38,"(-3.5,-3.475]",-3.5,-3.475,0.025,tmp,0,1.2933124966319986e-4,7.544322897019993e-5
41,"(-3.425,-3.4]",-3.425,-3.4,0.025,tmp,0,5.819906234843994e-4,6.466562483159993e-5
42,"(-3.4,-3.375]",-3.4,-3.375,0.025,tmp,0,1.1855364552459988e-4,1.6166406207899985e-4
45,"(-3.325,-3.3]",-3.325,-3.3,0.025,tmp,0,6.358786441773993e-4,2.047744786333998e-4
49,"(-3.225,-3.2]",-3.225,-3.2,0.025,tmp,0,3.772161448509996e-4,1.832192703561998e-4
50,"(-3.2,-3.175]",-3.2,-3.175,0.025,tmp,0,3.341057282965997e-4,1.5088645794039985e-4
53,"(-3.125,-3.1]",-3.125,-3.1,0.025,tmp,0,9.160963517809991e-4,2.2632968691059977e-4
57,"(-3.025,-3]",-3.025,-3,0.025,tmp,0,6.035458317615994e-4,3.017729158807997e-4
58,"(-3,-2.975]",-3,-2.975,0.025,tmp,0,1.7244166621759982e-4,2.047744786333998e-4
61,"(-2.925,-2.9]",-2.925,-2.9,0.025,tmp,0,5.927682276229994e-4,1.1855364552459988e-4
62,"(-2.9,-2.875]",-2.9,-2.875,0.025,tmp,0,3.341057282965997e-4,2.586624993263997e-4
65,"(-2.825,-2.8]",-2.825,-2.8,0.025,tmp,0,8.190979145335992e-4,3.017729158807997e-4
69,"(-2.725,-2.7]",-2.725,-2.7,0.025,tmp,0,8.083203103949992e-4,2.3710729104919976e-4
73,"(-2.625,-2.6]",-2.625,-2.6,0.025,tmp,0,0.0010669828097213988,2.802177076035997e-4
77,"(-2.525,-2.5]",-2.525,-2.5,0.025,tmp,0,0.001013094789028399,3.233281241579997e-4
78,"(-2.5,-2.475]",-2.5,-2.475,0.025,tmp,0,2.4788489518779973e-4,3.4488333243519963e-4
81,"(-2.425,-2.4]",-2.425,-2.4,0.025,tmp,0,9.592067683353991e-4,3.125505200193997e-4
82,"(-2.4,-2.375]",-2.4,-2.375,0.025,tmp,0,2.802177076035997e-4,4.742145820983995e-4
85,"(-2.325,-2.3]",-2.325,-2.3,0.025,tmp,0,0.0013903109338793986,6.466562483159994e-4
89,"(-2.225,-2.2]",-2.225,-2.2,0.025,tmp,0,0.0017567494745917983,6.358786441773993e-4
93,"(-2.125,-2.1]",-2.125,-2.1,0.025,tmp,0,0.002004634369779598,7.005442690089993e-4
97,"(-2.025,-2]",-2.025,-2,0.025,tmp,0,0.0019184135366707982,9.160963517809991e-4
98,"(-2,-1.975]",-2,-1.975,0.025,tmp,0,4.311041655439996e-4,7.544322897019992e-4
101,"(-1.925,-1.9]",-1.925,-1.9,0.025,tmp,0,0.001853747911839198,0.0011963140593845988
102,"(-1.9,-1.875]",-1.9,-1.875,0.025,tmp,0,4.203265614053996e-4,0.001002317184889799
105,"(-1.825,-1.8]",-1.825,-1.8,0.025,tmp,0,0.0026081802015411972,0.001002317184889799
109,"(-1.725,-1.7]",-1.725,-1.7,0.025,tmp,0,0.0015088645794039985,0.001088538017998599
110,"(-1.7,-1.675]",-1.7,-1.675,0.025,tmp,0,0.0011747588511073989,0.001099315622137199
113,"(-1.625,-1.6]",-1.625,-1.6,0.025,tmp,0,0.0035997197822923966,0.0013903109338793986
117,"(-1.525,-1.5]",-1.525,-1.5,0.025,tmp,0,0.0036212749905695962,0.0014765317669881985
118,"(-1.5,-1.475]",-1.5,-1.475,0.025,tmp,0,6.789890607317993e-4,0.0014010885380179986
121,"(-1.425,-1.4]",-1.425,-1.4,0.025,tmp,0,0.0045589265506277956,0.0013040901007705986
122,"(-1.4,-1.375]",-1.4,-1.375,0.025,tmp,0,8.514307269493991e-4,0.0017459718704531983
125,"(-1.325,-1.3]",-1.325,-1.3,0.025,tmp,0,0.006574338524545993,0.0013040901007705986
129,"(-1.225,-1.2]",-1.225,-1.2,0.025,tmp,0,0.004990030716171795,0.0014334213504337986
130,"(-1.2,-1.175]",-1.2,-1.175,0.025,tmp,0,0.002036967182195398,0.0014657541628495985
133,"(-1.125,-1.1]",-1.125,-1.1,0.025,tmp,0,0.0071347739397531924,0.0015627526000969985
137,"(-1.025,-1]",-1.025,-1,0.025,tmp,0,0.0073826588349409925,0.0014980869752653984
138,"(-1,-0.975]",-1,-0.975,0.025,tmp,0,0.001142426038691599,0.0012286468718003987
141,"(-0.925,-0.9]",-0.925,-0.9,0.025,tmp,0,0.01016328070269979,0.001088538017998599
145,"(-0.825,-0.8]",-0.825,-0.8,0.025,tmp,0,0.010357277577194589,0.0011855364552459987
149,"(-0.725,-0.7]",-0.725,-0.7,0.025,tmp,0,0.00935496039230479,0.0012933124966319988
157,"(-0.525,-0.5]",-0.525,-0.5,0.025,tmp,0,0.013946219755348386,0.0016920838497601982
1,"(-4.475,-4.45]",-4.475,-4.45,0.025,tmp,0,0,1.0777604138599989e-5
