n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja,variable_metric,metric
4,"(206.075,206.1]",206.075,206.1,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
5,"(206.175,206.2]",206.175,206.2,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
6,"(206.375,206.4]",206.375,206.4,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
7,"(206.475,206.5]",206.475,206.5,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
8,"(206.575,206.6]",206.575,206.6,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
9,"(206.675,206.7]",206.675,206.7,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
10,"(206.775,206.8]",206.775,206.8,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
11,"(206.975,207]",206.975,207,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
12,"(207.075,207.1]",207.075,207.1,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
13,"(207.175,207.2]",207.175,207.2,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
14,"(207.275,207.3]",207.275,207.3,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
15,"(207.375,207.4]",207.375,207.4,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
16,"(207.475,207.5]",207.475,207.5,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
17,"(207.575,207.6]",207.575,207.6,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
18,"(207.675,207.7]",207.675,207.7,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
19,"(207.775,207.8]",207.775,207.8,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
20,"(207.875,207.9]",207.875,207.9,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
21,"(207.975,208]",207.975,208,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
