n_bin,bin,bin_from,bin_to,bin_size,variable,cwd_avg,variable_metric,metric
137,"(-1156.33,-1156.3]",-1156.33,-1156.3,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
138,"(-1156.12,-1156.1]",-1156.12,-1156.1,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
139,"(-1156.03,-1156]",-1156.03,-1156,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
140,"(-1155.92,-1155.9]",-1155.92,-1155.9,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
141,"(-1155.62,-1155.6]",-1155.62,-1155.6,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
142,"(-1155.53,-1155.5]",-1155.53,-1155.5,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
143,"(-1155.42,-1155.4]",-1155.42,-1155.4,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
144,"(-1155.33,-1155.3]",-1155.33,-1155.3,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
145,"(-1155.12,-1155.1]",-1155.12,-1155.1,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
146,"(-1155.03,-1155]",-1155.03,-1155,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
147,"(-1154.92,-1154.9]",-1154.92,-1154.9,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
148,"(-1154.83,-1154.8]",-1154.83,-1154.8,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
149,"(-1154.72,-1154.7]",-1154.72,-1154.7,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
150,"(-1154.7,-1154.67]",-1154.7,-1154.67,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
151,"(-1154.62,-1154.6]",-1154.62,-1154.6,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
152,"(-1154.53,-1154.5]",-1154.53,-1154.5,0.025,cwd,5.388802069299995e-5,cwd_avg,avg
153,"(-1154.42,-1154.4]",-1154.42,-1154.4,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
154,"(-1154.4,-1154.38]",-1154.4,-1154.38,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
155,"(-1154.33,-1154.3]",-1154.33,-1154.3,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
156,"(-1154.2,-1154.17]",-1154.2,-1154.17,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
157,"(-1154.03,-1154]",-1154.03,-1154,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
158,"(-1153.92,-1153.9]",-1153.92,-1153.9,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
159,"(-1153.7,-1153.67]",-1153.7,-1153.67,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
160,"(-1153.62,-1153.6]",-1153.62,-1153.6,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
161,"(-1153.53,-1153.5]",-1153.53,-1153.5,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
162,"(-1153.42,-1153.4]",-1153.42,-1153.4,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
163,"(-1153.33,-1153.3]",-1153.33,-1153.3,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
164,"(-1153.2,-1153.17]",-1153.2,-1153.17,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
165,"(-1153.12,-1153.1]",-1153.12,-1153.1,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
166,"(-1152.92,-1152.9]",-1152.92,-1152.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
167,"(-1152.83,-1152.8]",-1152.83,-1152.8,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
168,"(-1152.7,-1152.67]",-1152.7,-1152.67,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
169,"(-1152.53,-1152.5]",-1152.53,-1152.5,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
170,"(-1152.33,-1152.3]",-1152.33,-1152.3,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
171,"(-1152.22,-1152.2]",-1152.22,-1152.2,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
172,"(-1152.2,-1152.17]",-1152.2,-1152.17,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
173,"(-1152.12,-1152.1]",-1152.12,-1152.1,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
174,"(-1151.92,-1151.9]",-1151.92,-1151.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
175,"(-1151.83,-1151.8]",-1151.83,-1151.8,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
176,"(-1151.72,-1151.7]",-1151.72,-1151.7,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
177,"(-1151.62,-1151.6]",-1151.62,-1151.6,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
178,"(-1151.53,-1151.5]",-1151.53,-1151.5,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
179,"(-1151.42,-1151.4]",-1151.42,-1151.4,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
180,"(-1151.33,-1151.3]",-1151.33,-1151.3,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
181,"(-1151.22,-1151.2]",-1151.22,-1151.2,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
182,"(-1151.2,-1151.17]",-1151.2,-1151.17,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
183,"(-1151.12,-1151.1]",-1151.12,-1151.1,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
184,"(-1151.03,-1151]",-1151.03,-1151,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
185,"(-1150.92,-1150.9]",-1150.92,-1150.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
186,"(-1150.83,-1150.8]",-1150.83,-1150.8,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
187,"(-1150.72,-1150.7]",-1150.72,-1150.7,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
188,"(-1150.7,-1150.67]",-1150.7,-1150.67,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
189,"(-1150.62,-1150.6]",-1150.62,-1150.6,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
190,"(-1150.53,-1150.5]",-1150.53,-1150.5,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
