n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja,variable_metric,metric
199,"(4.35,4.375]",4.35,4.375,0.025,tmp,3.233281241579997e-4,0,0.0018214150994233982,tmp_avg,avg
352,"(4.35,4.375]",4.35,4.375,0.025,tmp,3.233281241579997e-4,0,0.0018214150994233982,tmp_jja,jja
200,"(4.375,4.4]",4.375,4.4,0.025,tmp,4.4188176968259954e-4,0,0.001886080724254998,tmp_avg,avg
353,"(4.375,4.4]",4.375,4.4,0.025,tmp,4.4188176968259954e-4,0,0.001886080724254998,tmp_jja,jja
201,"(4.4,4.425]",4.4,4.425,0.025,tmp,2.802177076035997e-4,0,0.001842970307700598,tmp_avg,avg
354,"(4.4,4.425]",4.4,4.425,0.025,tmp,2.802177076035997e-4,0,0.001842970307700598,tmp_jja,jja
202,"(4.425,4.45]",4.425,4.45,0.025,tmp,3.987713531281996e-4,0,0.0018321927035619982,tmp_avg,avg
355,"(4.425,4.45]",4.425,4.45,0.025,tmp,3.987713531281996e-4,0,0.0018321927035619982,tmp_jja,jja
203,"(4.45,4.475]",4.45,4.475,0.025,tmp,3.125505200193997e-4,0,0.0014657541628495985,tmp_avg,avg
356,"(4.45,4.475]",4.45,4.475,0.025,tmp,3.125505200193997e-4,0,0.0014657541628495985,tmp_jja,jja
204,"(4.475,4.5]",4.475,4.5,0.025,tmp,2.155520827719998e-4,0,0.0018321927035619982,tmp_avg,avg
357,"(4.475,4.5]",4.475,4.5,0.025,tmp,2.155520827719998e-4,0,0.0018321927035619982,tmp_jja,jja
205,"(4.5,4.525]",4.5,4.525,0.025,tmp,2.802177076035997e-4,0,0.0018753031201163982,tmp_avg,avg
358,"(4.5,4.525]",4.5,4.525,0.025,tmp,2.802177076035997e-4,0,0.0018753031201163982,tmp_jja,jja
206,"(4.525,4.55]",4.525,4.55,0.025,tmp,2.3710729104919976e-4,0,0.0018106374952847981,tmp_avg,avg
359,"(4.525,4.55]",4.525,4.55,0.025,tmp,2.3710729104919976e-4,0,0.0018106374952847981,tmp_jja,jja
207,"(4.55,4.575]",4.55,4.575,0.025,tmp,2.4788489518779973e-4,0,0.0016058630166513985,tmp_avg,avg
360,"(4.55,4.575]",4.55,4.575,0.025,tmp,2.4788489518779973e-4,0,0.0016058630166513985,tmp_jja,jja
208,"(4.575,4.6]",4.575,4.6,0.025,tmp,1.7244166621759982e-4,0,0.0016705286414829983,tmp_avg,avg
361,"(4.575,4.6]",4.575,4.6,0.025,tmp,1.7244166621759982e-4,0,0.0016705286414829983,tmp_jja,jja
209,"(4.6,4.625]",4.6,4.625,0.025,tmp,1.2933124966319986e-4,0,0.0014873093711267986,tmp_avg,avg
362,"(4.6,4.625]",4.6,4.625,0.025,tmp,1.2933124966319986e-4,0,0.0014873093711267986,tmp_jja,jja
210,"(4.625,4.65]",4.625,4.65,0.025,tmp,1.7244166621759982e-4,0,0.0016058630166513985,tmp_avg,avg
363,"(4.625,4.65]",4.625,4.65,0.025,tmp,1.7244166621759982e-4,0,0.0016058630166513985,tmp_jja,jja
211,"(4.65,4.675]",4.65,4.675,0.025,tmp,1.4010885380179986e-4,0,0.0016489734332057982,tmp_avg,avg
364,"(4.65,4.675]",4.65,4.675,0.025,tmp,1.4010885380179986e-4,0,0.0016489734332057982,tmp_jja,jja
212,"(4.675,4.7]",4.675,4.7,0.025,tmp,1.832192703561998e-4,0,0.001853747911839198,tmp_avg,avg
365,"(4.675,4.7]",4.675,4.7,0.025,tmp,1.832192703561998e-4,0,0.001853747911839198,tmp_jja,jja
213,"(4.7,4.725]",4.7,4.725,0.025,tmp,1.7244166621759982e-4,0,0.0017459718704531983,tmp_avg,avg
366,"(4.7,4.725]",4.7,4.725,0.025,tmp,1.7244166621759982e-4,0,0.0017459718704531983,tmp_jja,jja
214,"(4.725,4.75]",4.725,4.75,0.025,tmp,1.2933124966319986e-4,0,0.0015843078083741984,tmp_avg,avg
367,"(4.725,4.75]",4.725,4.75,0.025,tmp,1.2933124966319986e-4,0,0.0015843078083741984,tmp_jja,jja
215,"(4.75,4.775]",4.75,4.775,0.025,tmp,1.5088645794039985e-4,0,0.0017351942663145982,tmp_avg,avg
368,"(4.75,4.775]",4.75,4.775,0.025,tmp,1.5088645794039985e-4,0,0.0017351942663145982,tmp_jja,jja
216,"(4.775,4.8]",4.775,4.8,0.025,tmp,9.69984372473999e-5,0,0.0019507463490865981,tmp_avg,avg
369,"(4.775,4.8]",4.775,4.8,0.025,tmp,9.69984372473999e-5,0,0.0019507463490865981,tmp_jja,jja
217,"(4.8,4.825]",4.8,4.825,0.025,tmp,4.3110416554399954e-5,0,0.0018645255159777982,tmp_avg,avg
370,"(4.8,4.825]",4.8,4.825,0.025,tmp,4.3110416554399954e-5,0,0.0018645255159777982,tmp_jja,jja
218,"(4.825,4.85]",4.825,4.85,0.025,tmp,3.2332812415799966e-5,0,0.0015627526000969985,tmp_avg,avg
371,"(4.825,4.85]",4.825,4.85,0.025,tmp,3.2332812415799966e-5,0,0.0015627526000969985,tmp_jja,jja
219,"(4.85,4.875]",4.85,4.875,0.025,tmp,5.388802069299995e-5,0,0.0017351942663145982,tmp_avg,avg
372,"(4.85,4.875]",4.85,4.875,0.025,tmp,5.388802069299995e-5,0,0.0017351942663145982,tmp_jja,jja
220,"(4.875,4.9]",4.875,4.9,0.025,tmp,4.3110416554399954e-5,0,0.0017244166621759984,tmp_avg,avg
373,"(4.875,4.9]",4.875,4.9,0.025,tmp,4.3110416554399954e-5,0,0.0017244166621759984,tmp_jja,jja
221,"(4.9,4.925]",4.9,4.925,0.025,tmp,6.466562483159993e-5,0,0.0016274182249285984,tmp_avg,avg
374,"(4.9,4.925]",4.9,4.925,0.025,tmp,6.466562483159993e-5,0,0.0016274182249285984,tmp_jja,jja
222,"(4.925,4.95]",4.925,4.95,0.025,tmp,4.3110416554399954e-5,0,0.0014226437462951985,tmp_avg,avg
375,"(4.925,4.95]",4.925,4.95,0.025,tmp,4.3110416554399954e-5,0,0.0014226437462951985,tmp_jja,jja
223,"(4.95,4.975]",4.95,4.975,0.025,tmp,4.3110416554399954e-5,0,0.0012933124966319988,tmp_avg,avg
376,"(4.95,4.975]",4.95,4.975,0.025,tmp,4.3110416554399954e-5,0,0.0012933124966319988,tmp_jja,jja
224,"(4.975,5]",4.975,5,0.025,tmp,2.1555208277199977e-5,0,0.0013795333297407985,tmp_avg,avg
377,"(4.975,5]",4.975,5,0.025,tmp,2.1555208277199977e-5,0,0.0013795333297407985,tmp_jja,jja
225,"(5,5.025]",5,5.025,0.025,tmp,3.2332812415799966e-5,0,0.0011747588511073989,tmp_avg,avg
378,"(5,5.025]",5,5.025,0.025,tmp,3.2332812415799966e-5,0,0.0011747588511073989,tmp_jja,jja
226,"(5.025,5.05]",5.025,5.05,0.025,tmp,1.0777604138599989e-5,0,0.0012070916635231988,tmp_avg,avg
379,"(5.025,5.05]",5.025,5.05,0.025,tmp,1.0777604138599989e-5,0,0.0012070916635231988,tmp_jja,jja
227,"(5.05,5.075]",5.05,5.075,0.025,tmp,2.1555208277199977e-5,0,0.0011532036428301988,tmp_avg,avg
380,"(5.05,5.075]",5.05,5.075,0.025,tmp,2.1555208277199977e-5,0,0.0011532036428301988,tmp_jja,jja
228,"(5.075,5.1]",5.075,5.1,0.025,tmp,1.0777604138599989e-5,0,0.0011963140593845988,tmp_avg,avg
381,"(5.075,5.1]",5.075,5.1,0.025,tmp,1.0777604138599989e-5,0,0.0011963140593845988,tmp_jja,jja
382,"(5.1,5.125]",5.1,5.125,0.025,tmp,0,0,0.0013472005173249986,tmp_jja,jja
383,"(5.125,5.15]",5.125,5.15,0.025,tmp,0,0,0.0013687557256021987,tmp_jja,jja
384,"(5.15,5.175]",5.15,5.175,0.025,tmp,0,0,0.0013472005173249986,tmp_jja,jja
385,"(5.175,5.2]",5.175,5.2,0.025,tmp,0,0,0.0012502020800775988,tmp_jja,jja
386,"(5.2,5.225]",5.2,5.225,0.025,tmp,0,0,0.0010777604138599989,tmp_jja,jja
387,"(5.225,5.25]",5.225,5.25,0.025,tmp,0,0,0.0012717572883547987,tmp_jja,jja
388,"(5.25,5.275]",5.25,5.275,0.025,tmp,0,0,0.0012070916635231988,tmp_jja,jja
389,"(5.275,5.3]",5.275,5.3,0.025,tmp,0,0,0.001034649997305599,tmp_jja,jja
390,"(5.3,5.325]",5.3,5.325,0.025,tmp,0,0,0.0011532036428301988,tmp_jja,jja
391,"(5.325,5.35]",5.325,5.35,0.025,tmp,0,0,0.0012286468718003987,tmp_jja,jja
